,Model,Window,Derivative,Preprocessing,variable,Accuracy
1267,LDA,21,1,snv,split4_test_score,0.65
1819,LDA,21,0,snv,split6_test_score,0.625
1571,LDA,11,2,snv,split5_test_score,0.525
1411,LDA,21,1,msc,split4_test_score,0.6125
1851,LDA,9,2,snv,split6_test_score,0.5875
115,LDA,21,1,snv,split0_test_score,0.6625
1963,LDA,21,0,msc,split6_test_score,0.5
171,LDA,9,1,rnv,split0_test_score,0.5125
1667,LDA,11,0,msc,split5_test_score,0.525
1723,LDA,21,2,msc,split5_test_score,0.6
1651,LDA,21,2,rnv,split5_test_score,0.575
1587,LDA,9,0,rnv,split5_test_score,0.575
147,LDA,9,0,rnv,split0_test_score,0.5875
1403,LDA,11,1,msc,split4_test_score,0.6125
1835,LDA,11,1,snv,split6_test_score,0.6
131,LDA,11,2,snv,split0_test_score,0.55
1707,LDA,9,2,msc,split5_test_score,0.5
1523,LDA,11,0,snv,split5_test_score,0.5125
1395,LDA,9,1,msc,split4_test_score,0.6625
1659,LDA,9,0,msc,split5_test_score,0.55
1291,LDA,21,2,snv,split4_test_score,0.6
1947,LDA,9,0,msc,split6_test_score,0.575
1715,LDA,11,2,msc,split5_test_score,0.5375
1827,LDA,9,1,snv,split6_test_score,0.6625
1579,LDA,21,2,snv,split5_test_score,0.6125
1275,LDA,9,2,snv,split4_test_score,0.6
1387,LDA,21,0,msc,split4_test_score,0.5
1843,LDA,21,1,snv,split6_test_score,0.6
1939,LDA,21,2,rnv,split6_test_score,0.5875
1259,LDA,11,1,snv,split4_test_score,0.6375
1811,LDA,11,0,snv,split6_test_score,0.6625
1971,LDA,9,1,msc,split6_test_score,0.65
1795,LDA,21,2,raw,split6_test_score,0.675
1435,LDA,21,2,msc,split4_test_score,0.6
1283,LDA,11,2,snv,split4_test_score,0.55
1595,LDA,11,0,rnv,split5_test_score,0.575
195,LDA,9,2,rnv,split0_test_score,0.5125
1987,LDA,21,1,msc,split6_test_score,0.5875
1243,LDA,21,0,snv,split4_test_score,0.6
1363,LDA,21,2,rnv,split4_test_score,0.625
1499,LDA,11,2,raw,split5_test_score,0.5625
1235,LDA,11,0,snv,split4_test_score,0.5875
1731,LDA,9,0,raw,split6_test_score,0.675
1867,LDA,21,2,snv,split6_test_score,0.6125
1315,LDA,21,0,rnv,split4_test_score,0.625
1787,LDA,11,2,raw,split6_test_score,0.625
1915,LDA,21,1,rnv,split6_test_score,0.5875
1859,LDA,11,2,snv,split6_test_score,0.5375
1307,LDA,11,0,rnv,split4_test_score,0.625
203,LDA,11,2,rnv,split0_test_score,0.525
1299,LDA,9,0,rnv,split4_test_score,0.6
1419,LDA,9,2,msc,split4_test_score,0.625
187,LDA,21,1,rnv,split0_test_score,0.5625
1699,LDA,21,1,msc,split5_test_score,0.5875
1531,LDA,21,0,snv,split5_test_score,0.6
1643,LDA,11,2,rnv,split5_test_score,0.6
1371,LDA,9,0,msc,split4_test_score,0.55
1507,LDA,21,2,raw,split5_test_score,0.55
1251,LDA,9,1,snv,split4_test_score,0.675
1979,LDA,11,1,msc,split6_test_score,0.625
1803,LDA,9,0,snv,split6_test_score,0.6
1563,LDA,9,2,snv,split5_test_score,0.575
1427,LDA,11,2,msc,split4_test_score,0.6
155,LDA,11,0,rnv,split0_test_score,0.5875
1923,LDA,9,2,rnv,split6_test_score,0.6125
1443,LDA,9,0,raw,split5_test_score,0.575
1339,LDA,21,1,rnv,split4_test_score,0.625
1619,LDA,11,1,rnv,split5_test_score,0.6
2027,LDA,11,0,raw,split7_test_score,0.6125
275,LDA,11,2,msc,split0_test_score,0.55
43,LDA,21,1,raw,split0_test_score,0.5875
675,LDA,9,1,snv,split2_test_score,0.5625
2531,LDA,11,0,msc,split8_test_score,0.5
683,LDA,11,1,snv,split2_test_score,0.5875
2523,LDA,9,0,msc,split8_test_score,0.575
691,LDA,21,1,snv,split2_test_score,0.55
2515,LDA,21,2,rnv,split8_test_score,0.5375
699,LDA,9,2,snv,split2_test_score,0.6625
2507,LDA,11,2,rnv,split8_test_score,0.6125
707,LDA,11,2,snv,split2_test_score,0.55
2499,LDA,9,2,rnv,split8_test_score,0.6875
715,LDA,21,2,snv,split2_test_score,0.5875
2491,LDA,21,1,rnv,split8_test_score,0.5375
723,LDA,9,0,rnv,split2_test_score,0.5625
2539,LDA,21,0,msc,split8_test_score,0.5
2483,LDA,11,1,rnv,split8_test_score,0.6125
667,LDA,21,0,snv,split2_test_score,0.5375
659,LDA,11,0,snv,split2_test_score,0.6125
603,LDA,9,1,raw,split2_test_score,0.5625
283,LDA,21,2,msc,split0_test_score,0.6375
35,LDA,11,1,raw,split0_test_score,0.525
611,LDA,11,1,raw,split2_test_score,0.5625
2595,LDA,9,0,raw,split9_test_score,0.4875
619,LDA,21,1,raw,split2_test_score,0.55
2587,LDA,21,2,msc,split8_test_score,0.625
627,LDA,9,2,raw,split2_test_score,0.6375
2579,LDA,11,2,msc,split8_test_score,0.6625
2571,LDA,9,2,msc,split8_test_score,0.6125
635,LDA,11,2,raw,split2_test_score,0.5125
643,LDA,21,2,raw,split2_test_score,0.625
2563,LDA,21,1,msc,split8_test_score,0.55
651,LDA,9,0,snv,split2_test_score,0.6
2555,LDA,11,1,msc,split8_test_score,0.625
2547,LDA,9,1,msc,split8_test_score,0.6
731,LDA,11,0,rnv,split2_test_score,0.6
267,LDA,9,2,msc,split0_test_score,0.5375
2475,LDA,9,1,rnv,split8_test_score,0.6875
2403,LDA,9,1,snv,split8_test_score,0.6375
811,LDA,21,0,msc,split2_test_score,0.5375
2395,LDA,21,0,snv,split8_test_score,0.6
819,LDA,9,1,msc,split2_test_score,0.5375
2387,LDA,11,0,snv,split8_test_score,0.6375
827,LDA,11,1,msc,split2_test_score,0.5375
2379,LDA,9,0,snv,split8_test_score,0.6625
835,LDA,21,1,msc,split2_test_score,0.55
2371,LDA,21,2,raw,split8_test_score,0.675
843,LDA,9,2,msc,split2_test_score,0.625
2363,LDA,11,2,raw,split8_test_score,0.65
851,LDA,11,2,msc,split2_test_score,0.5625
2355,LDA,9,2,raw,split8_test_score,0.6125
859,LDA,21,2,msc,split2_test_score,0.6375
251,LDA,11,1,msc,split0_test_score,0.5
59,LDA,11,2,raw,split0_test_score,0.525
803,LDA,11,0,msc,split2_test_score,0.575
2411,LDA,11,1,snv,split8_test_score,0.6125
259,LDA,21,1,msc,split0_test_score,0.6125
51,LDA,9,2,raw,split0_test_score,0.55
739,LDA,21,0,rnv,split2_test_score,0.525
2467,LDA,21,0,rnv,split8_test_score,0.5875
747,LDA,9,1,rnv,split2_test_score,0.5875
2459,LDA,11,0,rnv,split8_test_score,0.625
1195,LDA,21,1,raw,split4_test_score,0.6375
2451,LDA,9,0,rnv,split8_test_score,0.6625
2603,LDA,11,0,raw,split9_test_score,0.575
763,LDA,21,1,rnv,split2_test_score,0.5625
771,LDA,9,2,rnv,split2_test_score,0.5875
2435,LDA,11,2,snv,split8_test_score,0.625
779,LDA,11,2,rnv,split2_test_score,0.5875
2427,LDA,9,2,snv,split8_test_score,0.6
787,LDA,21,2,rnv,split2_test_score,0.5625
2419,LDA,21,1,snv,split8_test_score,0.525
795,LDA,9,0,msc,split2_test_score,0.5125
2443,LDA,21,2,snv,split8_test_score,0.625
595,LDA,21,0,raw,split2_test_score,0.525
2611,LDA,21,0,raw,split9_test_score,0.7125
587,LDA,11,0,raw,split2_test_score,0.6625
395,LDA,11,1,snv,split1_test_score,0.5875
2803,LDA,21,2,rnv,split9_test_score,0.625
403,LDA,21,1,snv,split1_test_score,0.575
2795,LDA,11,2,rnv,split9_test_score,0.4625
11,LDA,11,0,raw,split0_test_score,0.6125
411,LDA,9,2,snv,split1_test_score,0.625
307,LDA,21,0,raw,split1_test_score,0.6125
2787,LDA,9,2,rnv,split9_test_score,0.5625
419,LDA,11,2,snv,split1_test_score,0.625
2779,LDA,21,1,rnv,split9_test_score,0.625
427,LDA,21,2,snv,split1_test_score,0.6
2771,LDA,11,1,rnv,split9_test_score,0.4625
435,LDA,9,0,rnv,split1_test_score,0.5625
2763,LDA,9,1,rnv,split9_test_score,0.5625
443,LDA,11,0,rnv,split1_test_score,0.575
2811,LDA,9,0,msc,split9_test_score,0.6
387,LDA,9,1,snv,split1_test_score,0.6125
2819,LDA,11,0,msc,split9_test_score,0.6375
379,LDA,21,0,snv,split1_test_score,0.575
323,LDA,11,1,raw,split1_test_score,0.5875
2875,LDA,21,2,msc,split9_test_score,0.6125
2867,LDA,11,2,msc,split9_test_score,0.625
331,LDA,21,1,raw,split1_test_score,0.525
2859,LDA,9,2,msc,split9_test_score,0.625
339,LDA,9,2,raw,split1_test_score,0.6
3,LDA,9,0,raw,split0_test_score,0.5625
2755,LDA,21,0,rnv,split9_test_score,0.5875
347,LDA,11,2,raw,split1_test_score,0.55
315,LDA,9,1,raw,split1_test_score,0.575
355,LDA,21,2,raw,split1_test_score,0.575
2843,LDA,11,1,msc,split9_test_score,0.55
363,LDA,9,0,snv,split1_test_score,0.6
2835,LDA,9,1,msc,split9_test_score,0.6
371,LDA,11,0,snv,split1_test_score,0.575
2827,LDA,21,0,msc,split9_test_score,0.525
2851,LDA,21,1,msc,split9_test_score,0.6
2347,LDA,21,1,raw,split8_test_score,0.5
451,LDA,21,0,rnv,split1_test_score,0.625
459,LDA,9,1,rnv,split1_test_score,0.625
2667,LDA,9,0,snv,split9_test_score,0.5875
539,LDA,11,1,msc,split1_test_score,0.5625
27,LDA,9,1,raw,split0_test_score,0.525
291,LDA,9,0,raw,split1_test_score,0.6625
2659,LDA,21,2,raw,split9_test_score,0.65
547,LDA,21,1,msc,split1_test_score,0.6125
2651,LDA,11,2,raw,split9_test_score,0.6375
555,LDA,9,2,msc,split1_test_score,0.6125
2643,LDA,9,2,raw,split9_test_score,0.5875
563,LDA,11,2,msc,split1_test_score,0.6125
2635,LDA,21,1,raw,split9_test_score,0.5875
571,LDA,21,2,msc,split1_test_score,0.625
2627,LDA,11,1,raw,split9_test_score,0.525
579,LDA,9,0,raw,split2_test_score,0.575
2619,LDA,9,1,raw,split9_test_score,0.6125
531,LDA,9,1,msc,split1_test_score,0.6375
2675,LDA,11,0,snv,split9_test_score,0.6
523,LDA,21,0,msc,split1_test_score,0.5
2683,LDA,21,0,snv,split9_test_score,0.6
2739,LDA,9,0,rnv,split9_test_score,0.625
467,LDA,11,1,rnv,split1_test_score,0.6125
2731,LDA,21,2,snv,split9_test_score,0.625
19,LDA,21,0,raw,split0_test_score,0.55
475,LDA,21,1,rnv,split1_test_score,0.5625
299,LDA,11,0,raw,split1_test_score,0.6
2723,LDA,11,2,snv,split9_test_score,0.65
2747,LDA,11,0,rnv,split9_test_score,0.575
483,LDA,9,2,rnv,split1_test_score,0.625
491,LDA,11,2,rnv,split1_test_score,0.6125
2707,LDA,21,1,snv,split9_test_score,0.6125
499,LDA,21,2,rnv,split1_test_score,0.5625
2699,LDA,11,1,snv,split9_test_score,0.5
507,LDA,9,0,msc,split1_test_score,0.5375
2691,LDA,9,1,snv,split9_test_score,0.6
515,LDA,11,0,msc,split1_test_score,0.625
2715,LDA,9,2,snv,split9_test_score,0.6125
867,LDA,9,0,raw,split3_test_score,0.6
755,LDA,11,1,rnv,split2_test_score,0.5875
1035,LDA,9,1,rnv,split3_test_score,0.625
995,LDA,11,2,snv,split3_test_score,0.6375
2107,LDA,21,0,snv,split7_test_score,0.6
2227,LDA,21,2,rnv,split7_test_score,0.6375
235,LDA,21,0,msc,split0_test_score,0.6625
1115,LDA,11,1,msc,split3_test_score,0.6
987,LDA,9,2,snv,split3_test_score,0.6
2235,LDA,9,0,msc,split7_test_score,0.6
979,LDA,21,1,snv,split3_test_score,0.5375
219,LDA,9,0,msc,split0_test_score,0.55
2099,LDA,11,0,snv,split7_test_score,0.6375
1123,LDA,21,1,msc,split3_test_score,0.5625
2243,LDA,11,0,msc,split7_test_score,0.5625
971,LDA,11,1,snv,split3_test_score,0.625
2155,LDA,21,2,snv,split7_test_score,0.525
2091,LDA,9,0,snv,split7_test_score,0.6125
1131,LDA,9,2,msc,split3_test_score,0.6
2251,LDA,21,0,msc,split7_test_score,0.5
963,LDA,9,1,snv,split3_test_score,0.6
99,LDA,9,1,snv,split0_test_score,0.5875
2259,LDA,9,1,msc,split7_test_score,0.6125
955,LDA,21,0,snv,split3_test_score,0.5625
2083,LDA,21,2,raw,split7_test_score,0.5
2267,LDA,11,1,msc,split7_test_score,0.575
947,LDA,11,0,snv,split3_test_score,0.6
1139,LDA,11,2,msc,split3_test_score,0.65
2219,LDA,11,2,rnv,split7_test_score,0.675
2075,LDA,11,2,raw,split7_test_score,0.575
1107,LDA,9,1,msc,split3_test_score,0.6
83,LDA,11,0,snv,split0_test_score,0.55
1059,LDA,9,2,rnv,split3_test_score,0.625
2163,LDA,9,0,rnv,split7_test_score,0.6125
1067,LDA,11,2,rnv,split3_test_score,0.575
2147,LDA,11,2,snv,split7_test_score,0.5875
227,LDA,11,0,msc,split0_test_score,0.5625
1051,LDA,21,1,rnv,split3_test_score,0.5625
2171,LDA,11,0,rnv,split7_test_score,0.6
1043,LDA,11,1,rnv,split3_test_score,0.575
1075,LDA,21,2,rnv,split3_test_score,0.5625
2139,LDA,9,2,snv,split7_test_score,0.575
2179,LDA,21,0,rnv,split7_test_score,0.6125
67,LDA,21,2,raw,split0_test_score,0.5625
1083,LDA,9,0,msc,split3_test_score,0.575
2131,LDA,21,1,snv,split7_test_score,0.5875
2187,LDA,9,1,rnv,split7_test_score,0.675
1027,LDA,21,0,rnv,split3_test_score,0.5875
2195,LDA,11,1,rnv,split7_test_score,0.675
1019,LDA,11,0,rnv,split3_test_score,0.5
1091,LDA,11,0,msc,split3_test_score,0.5625
2123,LDA,11,1,snv,split7_test_score,0.5875
2203,LDA,21,1,rnv,split7_test_score,0.6375
1011,LDA,9,0,rnv,split3_test_score,0.5125
1099,LDA,21,0,msc,split3_test_score,0.475
2211,LDA,9,2,rnv,split7_test_score,0.675
1003,LDA,21,2,snv,split3_test_score,0.525
2115,LDA,9,1,snv,split7_test_score,0.6
2275,LDA,21,1,msc,split7_test_score,0.55
91,LDA,21,0,snv,split0_test_score,0.625
923,LDA,11,2,raw,split3_test_score,0.625
211,LDA,21,2,rnv,split0_test_score,0.5625
915,LDA,9,2,raw,split3_test_score,0.6125
891,LDA,9,1,raw,split3_test_score,0.6125
2059,LDA,21,1,raw,split7_test_score,0.5625
1163,LDA,11,0,raw,split4_test_score,0.5875
2051,LDA,11,1,raw,split7_test_score,0.6
2291,LDA,11,2,msc,split7_test_score,0.5625
883,LDA,21,0,raw,split3_test_score,0.625
1187,LDA,11,1,raw,split4_test_score,0.55
2035,LDA,21,0,raw,split7_test_score,0.6
243,LDA,9,1,msc,split0_test_score,0.5125
1171,LDA,21,0,raw,split4_test_score,0.5875
2043,LDA,9,1,raw,split7_test_score,0.6
2299,LDA,21,2,msc,split7_test_score,0.525
2331,LDA,9,1,raw,split8_test_score,0.5875
2315,LDA,11,0,raw,split8_test_score,0.55
907,LDA,21,1,raw,split3_test_score,0.55
939,LDA,9,0,snv,split3_test_score,0.5875
75,LDA,9,0,snv,split0_test_score,0.5875
2339,LDA,11,1,raw,split8_test_score,0.525
1147,LDA,21,2,msc,split3_test_score,0.6
899,LDA,11,1,raw,split3_test_score,0.6
1179,LDA,9,1,raw,split4_test_score,0.6375
2323,LDA,21,0,raw,split8_test_score,0.5875
1155,LDA,9,0,raw,split4_test_score,0.4625
2283,LDA,9,2,msc,split7_test_score,0.55
875,LDA,11,0,raw,split3_test_score,0.5625
931,LDA,21,2,raw,split3_test_score,0.5875
2307,LDA,9,0,raw,split8_test_score,0.5375
2067,LDA,9,2,raw,split7_test_score,0.6
1696,LR,21,1,msc,split5_test_score,0.625
2712,LR,9,2,snv,split9_test_score,0.5625
2856,LR,9,2,msc,split9_test_score,0.575
2704,LR,21,1,snv,split9_test_score,0.575
2120,LR,11,1,snv,split7_test_score,0.7
2128,LR,21,1,snv,split7_test_score,0.675
1656,LR,9,0,msc,split5_test_score,0.65
2864,LR,11,2,msc,split9_test_score,0.55
2664,LR,9,0,snv,split9_test_score,0.575
1720,LR,21,2,msc,split5_test_score,0.6125
1968,LR,9,1,msc,split6_test_score,0.65
2032,LR,21,0,raw,split7_test_score,0.625
2672,LR,11,0,snv,split9_test_score,0.575
2024,LR,11,0,raw,split7_test_score,0.6125
2872,LR,21,2,msc,split9_test_score,0.55
2144,LR,11,2,snv,split7_test_score,0.65
2040,LR,9,1,raw,split7_test_score,0.6875
2680,LR,21,0,snv,split9_test_score,0.5875
24,LR,9,1,raw,split0_test_score,0.5875
1624,LR,21,1,rnv,split5_test_score,0.65
2688,LR,9,1,snv,split9_test_score,0.5625
104,LR,11,1,snv,split0_test_score,0.5375
2136,LR,9,2,snv,split7_test_score,0.6375
1976,LR,11,1,msc,split6_test_score,0.65
1704,LR,9,2,msc,split5_test_score,0.65
2696,LR,11,1,snv,split9_test_score,0.5875
1712,LR,11,2,msc,split5_test_score,0.6625
2016,LR,9,0,raw,split7_test_score,0.6125
1688,LR,11,1,msc,split5_test_score,0.6375
1632,LR,9,2,rnv,split5_test_score,0.6625
1992,LR,9,2,msc,split6_test_score,0.675
2064,LR,9,2,raw,split7_test_score,0.6125
2008,LR,21,2,msc,split6_test_score,0.6375
2768,LR,11,1,rnv,split9_test_score,0.575
2816,LR,11,0,msc,split9_test_score,0.575
2776,LR,21,1,rnv,split9_test_score,0.55
2088,LR,9,0,snv,split7_test_score,0.6
8,LR,11,0,raw,split0_test_score,0.5375
2784,LR,9,2,rnv,split9_test_score,0.575
1648,LR,21,2,rnv,split5_test_score,0.65
1664,LR,11,0,msc,split5_test_score,0.65
152,LR,11,0,rnv,split0_test_score,0.5625
2000,LR,11,2,msc,split6_test_score,0.6875
2808,LR,9,0,msc,split9_test_score,0.575
2080,LR,21,2,raw,split7_test_score,0.6
2792,LR,11,2,rnv,split9_test_score,0.575
2072,LR,11,2,raw,split7_test_score,0.625
1672,LR,21,0,msc,split5_test_score,0.65
2720,LR,11,2,snv,split9_test_score,0.5375
2760,LR,9,1,rnv,split9_test_score,0.575
1640,LR,11,2,rnv,split5_test_score,0.65
112,LR,21,1,snv,split0_test_score,0.5875
2848,LR,21,1,msc,split9_test_score,0.5375
1984,LR,21,1,msc,split6_test_score,0.65
2048,LR,11,1,raw,split7_test_score,0.7
2800,LR,21,2,rnv,split9_test_score,0.55
2728,LR,21,2,snv,split9_test_score,0.55
2112,LR,9,1,snv,split7_test_score,0.6875
2736,LR,9,0,rnv,split9_test_score,0.6
96,LR,9,1,snv,split0_test_score,0.5375
2840,LR,11,1,msc,split9_test_score,0.5625
2744,LR,11,0,rnv,split9_test_score,0.6
2832,LR,9,1,msc,split9_test_score,0.5625
1680,LR,9,1,msc,split5_test_score,0.6375
2056,LR,21,1,raw,split7_test_score,0.675
2104,LR,21,0,snv,split7_test_score,0.575
16,LR,21,0,raw,split0_test_score,0.525
2752,LR,21,0,rnv,split9_test_score,0.6125
2824,LR,21,0,msc,split9_test_score,0.575
2096,LR,11,0,snv,split7_test_score,0.6
2344,LR,21,1,raw,split8_test_score,0.6
2160,LR,9,0,rnv,split7_test_score,0.6375
1832,LR,11,1,snv,split6_test_score,0.675
2288,LR,11,2,msc,split7_test_score,0.625
56,LR,11,2,raw,split0_test_score,0.5875
2432,LR,11,2,snv,split8_test_score,0.6125
2440,LR,21,2,snv,split8_test_score,0.5875
1824,LR,9,1,snv,split6_test_score,0.6875
1904,LR,11,1,rnv,split6_test_score,0.7125
2280,LR,9,2,msc,split7_test_score,0.5875
2448,LR,9,0,rnv,split8_test_score,0.65
2456,LR,11,0,rnv,split8_test_score,0.65
2424,LR,9,2,snv,split8_test_score,0.6125
2272,LR,21,1,msc,split7_test_score,0.675
2464,LR,21,0,rnv,split8_test_score,0.6375
1912,LR,21,1,rnv,split6_test_score,0.7125
2472,LR,9,1,rnv,split8_test_score,0.6625
2264,LR,11,1,msc,split7_test_score,0.675
1808,LR,11,0,snv,split6_test_score,0.675
2480,LR,11,1,rnv,split8_test_score,0.65
2256,LR,9,1,msc,split7_test_score,0.675
2488,LR,21,1,rnv,split8_test_score,0.65
120,LR,9,2,snv,split0_test_score,0.55
1800,LR,9,0,snv,split6_test_score,0.675
1816,LR,21,0,snv,split6_test_score,0.6875
2416,LR,21,1,snv,split8_test_score,0.6375
1896,LR,9,1,rnv,split6_test_score,0.7125
2296,LR,21,2,msc,split7_test_score,0.6
1872,LR,9,0,rnv,split6_test_score,0.7125
2336,LR,11,1,raw,split8_test_score,0.6
2352,LR,9,2,raw,split8_test_score,0.6625
1880,LR,11,0,rnv,split6_test_score,0.7125
2360,LR,11,2,raw,split8_test_score,0.675
1864,LR,21,2,snv,split6_test_score,0.65
2328,LR,9,1,raw,split8_test_score,0.6125
64,LR,21,2,raw,split0_test_score,0.6
2368,LR,21,2,raw,split8_test_score,0.675
2320,LR,21,0,raw,split8_test_score,0.65
2376,LR,9,0,snv,split8_test_score,0.65
1856,LR,11,2,snv,split6_test_score,0.7375
2384,LR,11,0,snv,split8_test_score,0.65
2312,LR,11,0,raw,split8_test_score,0.6625
128,LR,11,2,snv,split0_test_score,0.5375
1888,LR,21,0,rnv,split6_test_score,0.7125
2392,LR,21,0,snv,split8_test_score,0.65
2400,LR,9,1,snv,split8_test_score,0.6625
2304,LR,9,0,raw,split8_test_score,0.6625
72,LR,9,0,snv,split0_test_score,0.5875
1848,LR,9,2,snv,split6_test_score,0.7
2408,LR,11,1,snv,split8_test_score,0.6625
1840,LR,21,1,snv,split6_test_score,0.6625
48,LR,9,2,raw,split0_test_score,0.575
2496,LR,9,2,rnv,split8_test_score,0.6625
1920,LR,9,2,rnv,split6_test_score,0.7125
2248,LR,21,0,msc,split7_test_score,0.65
1944,LR,9,0,msc,split6_test_score,0.7125
2592,LR,9,0,raw,split9_test_score,0.6
1752,LR,9,1,raw,split6_test_score,0.675
2192,LR,11,1,rnv,split7_test_score,0.5375
2600,LR,11,0,raw,split9_test_score,0.6
2184,LR,9,1,rnv,split7_test_score,0.5375
2608,LR,21,0,raw,split9_test_score,0.6125
2616,LR,9,1,raw,split9_test_score,0.5625
1744,LR,21,0,raw,split6_test_score,0.7
1952,LR,11,0,msc,split6_test_score,0.7125
2176,LR,21,0,rnv,split7_test_score,0.6375
32,LR,11,1,raw,split0_test_score,0.5625
1736,LR,11,0,raw,split6_test_score,0.7
2624,LR,11,1,raw,split9_test_score,0.55
88,LR,21,0,snv,split0_test_score,0.5875
2632,LR,21,1,raw,split9_test_score,0.525
2168,LR,11,0,rnv,split7_test_score,0.6375
2640,LR,9,2,raw,split9_test_score,0.55
2648,LR,11,2,raw,split9_test_score,0.5625
1960,LR,21,0,msc,split6_test_score,0.7125
1728,LR,9,0,raw,split6_test_score,0.7
144,LR,9,0,rnv,split0_test_score,0.5625
2656,LR,21,2,raw,split9_test_score,0.475
2200,LR,21,1,rnv,split7_test_score,0.5125
2152,LR,21,2,snv,split7_test_score,0.55
2584,LR,21,2,msc,split8_test_score,0.575
1760,LR,11,1,raw,split6_test_score,0.6875
2504,LR,11,2,rnv,split8_test_score,0.65
2512,LR,21,2,rnv,split8_test_score,0.65
2240,LR,11,0,msc,split7_test_score,0.6375
80,LR,11,0,snv,split0_test_score,0.5875
2520,LR,9,0,msc,split8_test_score,0.65
1792,LR,21,2,raw,split6_test_score,0.65
136,LR,21,2,snv,split0_test_score,0.55
2528,LR,11,0,msc,split8_test_score,0.65
2232,LR,9,0,msc,split7_test_score,0.6375
1928,LR,11,2,rnv,split6_test_score,0.7125
1784,LR,11,2,raw,split6_test_score,0.6375
2536,LR,21,0,msc,split8_test_score,0.6625
2224,LR,21,2,rnv,split7_test_score,0.5125
2544,LR,9,1,msc,split8_test_score,0.6125
1776,LR,9,2,raw,split6_test_score,0.6625
2552,LR,11,1,msc,split8_test_score,0.6125
2216,LR,11,2,rnv,split7_test_score,0.5375
1936,LR,21,2,rnv,split6_test_score,0.7125
1768,LR,21,1,raw,split6_test_score,0.6875
40,LR,21,1,raw,split0_test_score,0.55
2560,LR,21,1,msc,split8_test_score,0.625
2568,LR,9,2,msc,split8_test_score,0.6
2208,LR,9,2,rnv,split7_test_score,0.5375
2576,LR,11,2,msc,split8_test_score,0.6
320,LR,11,1,raw,split1_test_score,0.725
160,LR,21,0,rnv,split0_test_score,0.5625
0,LR,9,0,raw,split0_test_score,0.5375
1264,LR,21,1,snv,split4_test_score,0.6625
600,LR,9,1,raw,split2_test_score,0.625
200,LR,11,2,rnv,split0_test_score,0.5875
1272,LR,9,2,snv,split4_test_score,0.65
592,LR,21,0,raw,split2_test_score,0.625
1280,LR,11,2,snv,split4_test_score,0.6625
608,LR,11,1,raw,split2_test_score,0.6375
584,LR,11,0,raw,split2_test_score,0.625
576,LR,9,0,raw,split2_test_score,0.625
1296,LR,9,0,rnv,split4_test_score,0.65
1304,LR,11,0,rnv,split4_test_score,0.65
568,LR,21,2,msc,split1_test_score,0.6875
288,LR,9,0,raw,split1_test_score,0.725
1312,LR,21,0,rnv,split4_test_score,0.65
1288,LR,21,2,snv,split4_test_score,0.6625
560,LR,11,2,msc,split1_test_score,0.7
616,LR,21,1,raw,split2_test_score,0.6125
1240,LR,21,0,snv,split4_test_score,0.625
664,LR,21,0,snv,split2_test_score,0.675
1192,LR,21,1,raw,split4_test_score,0.6625
656,LR,11,0,snv,split2_test_score,0.675
1200,LR,9,2,raw,split4_test_score,0.6
648,LR,9,0,snv,split2_test_score,0.675
208,LR,21,2,rnv,split0_test_score,0.5875
1248,LR,9,1,snv,split4_test_score,0.6625
1208,LR,11,2,raw,split4_test_score,0.625
640,LR,21,2,raw,split2_test_score,0.65
632,LR,11,2,raw,split2_test_score,0.6375
280,LR,21,2,msc,split0_test_score,0.5375
1224,LR,9,0,snv,split4_test_score,0.625
1232,LR,11,0,snv,split4_test_score,0.625
624,LR,9,2,raw,split2_test_score,0.65
1216,LR,21,2,raw,split4_test_score,0.5875
1184,LR,11,1,raw,split4_test_score,0.675
1320,LR,9,1,rnv,split4_test_score,0.675
1328,LR,11,1,rnv,split4_test_score,0.675
1400,LR,11,1,msc,split4_test_score,0.6125
1408,LR,21,1,msc,split4_test_score,0.6125
488,LR,11,2,rnv,split1_test_score,0.6375
1416,LR,9,2,msc,split4_test_score,0.65
480,LR,9,2,rnv,split1_test_score,0.6375
1424,LR,11,2,msc,split4_test_score,0.6875
184,LR,21,1,rnv,split0_test_score,0.5875
472,LR,21,1,rnv,split1_test_score,0.6375
464,LR,11,1,rnv,split1_test_score,0.6375
1440,LR,9,0,raw,split5_test_score,0.6875
1448,LR,11,0,raw,split5_test_score,0.675
456,LR,9,1,rnv,split1_test_score,0.6375
448,LR,21,0,rnv,split1_test_score,0.6875
1456,LR,21,0,raw,split5_test_score,0.675
1432,LR,21,2,msc,split4_test_score,0.6875
552,LR,9,2,msc,split1_test_score,0.7
496,LR,21,2,rnv,split1_test_score,0.6375
296,LR,11,0,raw,split1_test_score,0.725
192,LR,9,2,rnv,split0_test_score,0.5875
1336,LR,21,1,rnv,split4_test_score,0.6625
544,LR,21,1,msc,split1_test_score,0.65
1344,LR,9,2,rnv,split4_test_score,0.675
536,LR,11,1,msc,split1_test_score,0.6625
1352,LR,11,2,rnv,split4_test_score,0.675
1392,LR,9,1,msc,split4_test_score,0.625
528,LR,9,1,msc,split1_test_score,0.6625
1368,LR,9,0,msc,split4_test_score,0.7125
520,LR,21,0,msc,split1_test_score,0.6625
1376,LR,11,0,msc,split4_test_score,0.7125
512,LR,11,0,msc,split1_test_score,0.6625
1384,LR,21,0,msc,split4_test_score,0.7125
504,LR,9,0,msc,split1_test_score,0.6625
