,Model,Window,Derivative,Preprocessing,variable,Accuracy
1975,CART,9,1,msc,split6_test_score,0.6375
1983,CART,11,1,msc,split6_test_score,0.65
1991,CART,21,1,msc,split6_test_score,0.6125
1999,CART,9,2,msc,split6_test_score,0.725
2087,CART,21,2,raw,split7_test_score,0.6375
2007,CART,11,2,msc,split6_test_score,0.6625
2023,CART,9,0,raw,split7_test_score,0.5875
2031,CART,11,0,raw,split7_test_score,0.5875
2039,CART,21,0,raw,split7_test_score,0.6
2047,CART,9,1,raw,split7_test_score,0.6875
2055,CART,11,1,raw,split7_test_score,0.6875
2063,CART,21,1,raw,split7_test_score,0.625
2071,CART,9,2,raw,split7_test_score,0.7
2015,CART,21,2,msc,split6_test_score,0.475
327,CART,11,1,raw,split1_test_score,0.5875
2879,CART,21,2,msc,split9_test_score,0.5125
79,CART,9,0,snv,split0_test_score,0.525
271,CART,9,2,msc,split0_test_score,0.5375
303,CART,11,0,raw,split1_test_score,0.625
287,CART,21,2,msc,split0_test_score,0.6375
31,CART,9,1,raw,split0_test_score,0.625
319,CART,9,1,raw,split1_test_score,0.6875
111,CART,11,1,snv,split0_test_score,0.6375
143,CART,21,2,snv,split0_test_score,0.55
255,CART,11,1,msc,split0_test_score,0.55
63,CART,11,2,raw,split0_test_score,0.5
15,CART,11,0,raw,split0_test_score,0.55
311,CART,21,0,raw,split1_test_score,0.6375
95,CART,21,0,snv,split0_test_score,0.475
151,CART,9,0,rnv,split0_test_score,0.5125
135,CART,11,2,snv,split0_test_score,0.65
47,CART,21,1,raw,split0_test_score,0.55
223,CART,9,0,msc,split0_test_score,0.6125
239,CART,21,0,msc,split0_test_score,0.5125
7,CART,9,0,raw,split0_test_score,0.625
295,CART,9,0,raw,split1_test_score,0.6
127,CART,9,2,snv,split0_test_score,0.6
119,CART,21,1,snv,split0_test_score,0.55
23,CART,21,0,raw,split0_test_score,0.5625
175,CART,9,1,rnv,split0_test_score,0.675
55,CART,9,2,raw,split0_test_score,0.45
215,CART,21,2,rnv,split0_test_score,0.675
263,CART,21,1,msc,split0_test_score,0.6
103,CART,9,1,snv,split0_test_score,0.6375
71,CART,21,2,raw,split0_test_score,0.55
231,CART,11,0,msc,split0_test_score,0.5625
247,CART,9,1,msc,split0_test_score,0.65
87,CART,11,0,snv,split0_test_score,0.5625
279,CART,11,2,msc,split0_test_score,0.6875
207,CART,11,2,rnv,split0_test_score,0.5625
183,CART,11,1,rnv,split0_test_score,0.5625
159,CART,11,0,rnv,split0_test_score,0.5375
39,CART,11,1,raw,split0_test_score,0.6
191,CART,21,1,rnv,split0_test_score,0.675
199,CART,9,2,rnv,split0_test_score,0.675
167,CART,21,0,rnv,split0_test_score,0.625
1844,ET,21,1,snv,split6_test_score,0.475
2412,ET,11,1,snv,split8_test_score,0.45
2444,ET,21,2,snv,split8_test_score,0.6125
132,ET,11,2,snv,split0_test_score,0.425
772,ET,9,2,rnv,split2_test_score,0.4625
1388,ET,21,0,msc,split4_test_score,0.525
2420,ET,21,1,snv,split8_test_score,0.55
1828,ET,9,1,snv,split6_test_score,0.6375
788,ET,21,2,rnv,split2_test_score,0.5375
1836,ET,11,1,snv,split6_test_score,0.5625
2428,ET,9,2,snv,split8_test_score,0.5125
780,ET,11,2,rnv,split2_test_score,0.5125
1396,ET,9,1,msc,split4_test_score,0.5875
2436,ET,11,2,snv,split8_test_score,0.575
796,ET,9,0,msc,split2_test_score,0.5125
